match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,cricsheet_id
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,8.6,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,9.1,India,Pakistan,RG Sharma,Shubman Gill,Naseem Shah,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,9.2,India,Pakistan,RG Sharma,Shubman Gill,Naseem Shah,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,9.3,India,Pakistan,RG Sharma,Shubman Gill,Naseem Shah,4,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,9.4,India,Pakistan,RG Sharma,Shubman Gill,Naseem Shah,4,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,9.5,India,Pakistan,RG Sharma,Shubman Gill,Naseem Shah,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,9.6,India,Pakistan,RG Sharma,Shubman Gill,Naseem Shah,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,10.1,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,10.2,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,10.3,India,Pakistan,RG Sharma,Shubman Gill,Faheem Ashraf,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,10.4,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,4,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,10.5,India,Pakistan,Shubman Gill,RG Sharma,Faheem Ashraf,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,10.6,India,Pakistan,RG Sharma,Shubman Gill,Faheem Ashraf,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,11.1,India,Pakistan,RG Sharma,Shubman Gill,Haris Rauf,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,11.2,India,Pakistan,Shubman Gill,RG Sharma,Haris Rauf,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,11.3,India,Pakistan,RG Sharma,Shubman Gill,Haris Rauf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,11.4,India,Pakistan,RG Sharma,Shubman Gill,Haris Rauf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,11.5,India,Pakistan,RG Sharma,Shubman Gill,Haris Rauf,2,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,11.6,India,Pakistan,RG Sharma,Shubman Gill,Haris Rauf,4,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,12.1,India,Pakistan,Shubman Gill,RG Sharma,Shadab Khan,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,12.2,India,Pakistan,RG Sharma,Shubman Gill,Shadab Khan,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,12.3,India,Pakistan,Shubman Gill,RG Sharma,Shadab Khan,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,12.4,India,Pakistan,RG Sharma,Shubman Gill,Shadab Khan,6,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,12.5,India,Pakistan,RG Sharma,Shubman Gill,Shadab Khan,6,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,12.6,India,Pakistan,RG Sharma,Shubman Gill,Shadab Khan,4,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,13.1,India,Pakistan,Shubman Gill,RG Sharma,Haris Rauf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,13.2,India,Pakistan,Shubman Gill,RG Sharma,Haris Rauf,2,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,13.3,India,Pakistan,Shubman Gill,RG Sharma,Haris Rauf,0,5,5.0,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,13.4,India,Pakistan,Shubman Gill,RG Sharma,Haris Rauf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,13.5,India,Pakistan,Shubman Gill,RG Sharma,Haris Rauf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,13.6,India,Pakistan,Shubman Gill,RG Sharma,Haris Rauf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,13.7,India,Pakistan,Shubman Gill,RG Sharma,Haris Rauf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,14.1,India,Pakistan,RG Sharma,Shubman Gill,Shadab Khan,6,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,14.2,India,Pakistan,RG Sharma,Shubman Gill,Shadab Khan,4,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,14.3,India,Pakistan,RG Sharma,Shubman Gill,Shadab Khan,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,14.4,India,Pakistan,RG Sharma,Shubman Gill,Shadab Khan,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,14.5,India,Pakistan,Shubman Gill,RG Sharma,Shadab Khan,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,14.6,India,Pakistan,RG Sharma,Shubman Gill,Shadab Khan,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,15.1,India,Pakistan,Shubman Gill,RG Sharma,Haris Rauf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,15.2,India,Pakistan,Shubman Gill,RG Sharma,Haris Rauf,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,15.3,India,Pakistan,RG Sharma,Shubman Gill,Haris Rauf,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,15.4,India,Pakistan,Shubman Gill,RG Sharma,Haris Rauf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,15.5,India,Pakistan,Shubman Gill,RG Sharma,Haris Rauf,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,15.6,India,Pakistan,RG Sharma,Shubman Gill,Haris Rauf,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,16.1,India,Pakistan,Shubman Gill,RG Sharma,Shadab Khan,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,16.2,India,Pakistan,Shubman Gill,RG Sharma,Shadab Khan,2,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,16.3,India,Pakistan,Shubman Gill,RG Sharma,Shadab Khan,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,16.4,India,Pakistan,RG Sharma,Shubman Gill,Shadab Khan,0,0,,,,,,caught,RG Sharma,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,16.5,India,Pakistan,V Kohli,Shubman Gill,Shadab Khan,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,16.6,India,Pakistan,V Kohli,Shubman Gill,Shadab Khan,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,17.1,India,Pakistan,V Kohli,Shubman Gill,Shaheen Shah Afridi,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,17.2,India,Pakistan,V Kohli,Shubman Gill,Shaheen Shah Afridi,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,17.3,India,Pakistan,V Kohli,Shubman Gill,Shaheen Shah Afridi,0,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,17.4,India,Pakistan,V Kohli,Shubman Gill,Shaheen Shah Afridi,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,17.5,India,Pakistan,Shubman Gill,V Kohli,Shaheen Shah Afridi,0,0,,,,,,caught,Shubman Gill,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,17.6,India,Pakistan,KL Rahul,V Kohli,Shaheen Shah Afridi,1,0,,,,,,,,,,1388406
1388406,2023,2023-09-10,"R Premadasa Stadium, Colombo",1,18.1,India,Pakistan,KL Rahul,V Kohli,Shadab Khan,0,0,,,,,,,,,,1388406
